service_id,age,years_of_service,deployment_days_last_90,avg_duty_hours_per_week,consecutive_duty_days,leave_days_taken_last_90,sleep_hours_avg,family_contact_days_last_30,disciplinary_flags_last_180,prior_incident_count,self_report_mood_score,journal_text,latent_stress_true,risk_label
SVC00001,23,5,39,63.3,26,3,4.51,1,0,0,6,"Extremely exhausted, haven't slept properly in days.",0.673,High
SVC00001,23,5,16,52.8,28,6,6.81,16,0,0,9,"Routine day, nothing much to report.",0.536,Medium
SVC00001,23,5,15,43.8,23,1,6.0,19,0,0,4,"Standard patrol schedule, no major issues.",0.543,Medium
SVC00001,23,5,67,77.7,21,5,5.53,19,0,0,8,"Routine day, nothing much to report.",0.636,Medium
SVC00001,23,5,30,59.8,7,14,6.91,8,0,0,9,"Usual duty hours, a bit tired but okay overall.",0.392,Low
SVC00001,23,5,57,60.1,4,12,6.58,0,0,0,3,"Been a normal week, keeping busy with regular tasks.",0.525,Medium
SVC00002,21,3,40,63.6,20,12,5.76,11,0,0,1,The back-to-back duty shifts are wearing me down badly.,0.661,High
SVC00002,21,3,31,62.3,13,4,4.54,8,0,0,9,"Usual duty hours, a bit tired but okay overall.",0.523,Medium
SVC00002,21,3,11,53.9,17,14,5.8,13,0,0,4,"Routine day, nothing much to report.",0.416,Medium
SVC00002,21,3,63,46.4,14,13,6.82,10,0,0,2,"Usual duty hours, a bit tired but okay overall.",0.487,Medium
SVC00002,21,3,55,34.6,11,5,4.9,2,1,0,8,"Nothing unusual, just getting through the schedule.",0.464,Medium
SVC00002,21,3,71,49.5,13,1,5.76,1,0,0,8,"Usual duty hours, a bit tired but okay overall.",0.598,Medium
SVC00003,36,18,44,54.8,22,4,8.28,12,0,0,8,"Standard patrol schedule, no major issues.",0.555,Medium
SVC00003,36,18,17,56.3,10,10,4.65,2,0,1,5,"Usual duty hours, a bit tired but okay overall.",0.573,Medium
SVC00003,36,18,13,39.8,29,7,7.29,15,0,0,5,"Nothing unusual, just getting through the schedule.",0.447,Medium
SVC00003,36,18,73,42.2,8,8,5.4,10,0,0,1,"Nothing unusual, just getting through the schedule.",0.574,Medium
SVC00003,36,18,28,46.2,3,1,6.56,5,0,0,4,"Routine day, nothing much to report.",0.468,Medium
SVC00003,36,18,21,43.3,1,8,5.13,7,0,0,3,"Nothing unusual, just getting through the schedule.",0.466,Medium
SVC00004,51,8,16,46.5,5,4,4.54,8,1,0,3,"Nothing unusual, just getting through the schedule.",0.549,Medium
SVC00004,51,8,2,47.1,23,6,6.76,7,0,0,1,"Nothing unusual, just getting through the schedule.",0.519,Medium
SVC00004,51,8,6,49.8,25,11,8.1,3,1,0,10,"Been a normal week, keeping busy with regular tasks.",0.455,Medium
SVC00004,51,8,39,56.1,4,2,6.32,4,0,0,3,"Standard patrol schedule, no major issues.",0.538,Medium
SVC00004,51,8,37,48.0,6,0,4.48,14,0,0,6,"Nothing unusual, just getting through the schedule.",0.486,Medium
SVC00004,51,8,12,58.5,15,4,6.0,19,1,0,2,"Been a normal week, keeping busy with regular tasks.",0.509,Medium
SVC00005,46,13,15,41.8,18,11,4.3,16,0,0,7,"Routine day, nothing much to report.",0.398,Low
SVC00005,46,13,42,50.0,7,11,5.51,12,0,0,2,"Been a normal week, keeping busy with regular tasks.",0.415,Medium
SVC00005,46,13,48,36.6,7,14,8.59,14,0,0,5,"Usual duty hours, a bit tired but okay overall.",0.376,Low
SVC00005,46,13,28,49.1,28,13,6.77,3,0,0,3,"Routine day, nothing much to report.",0.616,Medium
SVC00005,46,13,15,45.3,13,8,7.52,16,0,0,4,"Routine day, nothing much to report.",0.436,Medium
SVC00005,46,13,44,85.8,5,3,8.25,4,0,0,1,"Feeling isolated, it's been weeks since I saw my family.",0.726,High
SVC00006,23,5,36,31.1,28,12,6.79,16,1,0,7,"Been a normal week, keeping busy with regular tasks.",0.401,Medium
SVC00006,23,5,75,53.8,16,14,2.86,17,0,0,3,"Usual duty hours, a bit tired but okay overall.",0.554,Medium
SVC00006,23,5,15,72.7,12,5,7.32,7,0,0,2,"Struggling to cope, everything feels overwhelming lately.",0.556,Medium
SVC00006,23,5,83,72.8,23,4,6.77,19,0,0,9,"Routine day, nothing much to report.",0.595,Medium
SVC00006,23,5,26,63.9,1,3,7.22,10,0,0,9,"Standard patrol schedule, no major issues.",0.428,Medium
SVC00006,23,5,7,33.1,22,2,4.68,3,0,0,9,"Feeling steady. Caught up with family on call, that helped a lot.",0.414,Medium
SVC00007,45,19,47,44.2,19,1,6.99,11,0,0,8,"Been a normal week, keeping busy with regular tasks.",0.517,Medium
SVC00007,45,19,21,44.9,18,12,4.14,2,0,0,8,"Standard patrol schedule, no major issues.",0.427,Medium
SVC00007,45,19,66,54.8,10,12,6.55,15,0,0,4,"Solid week, workload was manageable and the team is in good spirits.",0.501,Medium
